#
 0, low_dimension_smart_exploit,20,  0.00,  0.00, *----               |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0, low_dimension_smart_exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0, low_dimension_smart_explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0, low_dimension_smart_exploit,40,  0.00,  0.00, *-------------------|--                 ,  0.00,  0.00,  0.00,  0.00,  0.05
 0, low_dimension_smart_exploit,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0, low_dimension_smart_explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0, low_dimension_smart_explore,40,  0.00,  0.00, *-------------------|-----              ,  0.00,  0.00,  0.00,  0.00,  0.05
 0, low_dimension_smart_explore,50,  0.00,  0.00, *-------------------|-----              ,  0.00,  0.00,  0.00,  0.00,  0.05
 0,     low_dimension_dumb,40,  0.00,  0.00, *-                  |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,     low_dimension_dumb,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,     low_dimension_dumb,30,  0.00,  0.00,  *                  |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,     low_dimension_dumb,20,  0.00,  0.00,  *------------------|---                ,  0.00,  0.00,  0.00,  0.00,  0.05
